"Filename","Video Quality","Video Bitrate (kb/s)","Audio Quality","Audio Bitrate (kb/s)","Filesize(Mb)","Time"
"test-v5-a3.ogv","5","514","3","112","4","0:48.68"
"test-v5-a4.ogv","5","517","4","128","4","0:44.56"
"test-v5-a5.ogv","5","526","5","160","4","0:48.34"
"test-v6-a3.ogv","6","659","3","112","5","0:43.65"
"test-v6-a4.ogv","6","662","4","128","5","0:43.47"
"test-v6-a5.ogv","6","671","5","160","5","0:43.45"
"test-v7-a3.ogv","7","823","3","112","6","0:53.44"
"test-v7-a4.ogv","7","825","4","128","6","0:46.20"
"test-v7-a5.ogv","7","834","5","160","6","0:46.16"
"test-v8-a3.ogv","8","1179","3","112","9","0:52.61"
"test-v8-a4.ogv","8","1181","4","128","9","0:53.46"
"test-v8-a5.ogv","8","1190","5","160","9","0:52.61"
"test-v9-a3.ogv","9","1686","3","112","13","1:04.71"
"test-v9-a4.ogv","9","1689","4","128","13","1:04.64"
"test-v9-a5.ogv","9","1698","5","160","13","1:04.71"
"test-v10-a3.ogv","10","2203","3","112","16","1:05.61"
"test-v10-a4.ogv","10","2206","4","128","16","1:05.74"
"test-v10-a5.ogv","10","2215","5","160","16","1:06.13"
